Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance,Inflight_wifi_service,Departure_Arrival_time_convenient,Ease_of_Online_booking,Food_and_drink,Seat_comfort,Inflight_entertainment,Onboard_service,Leg_room_service,Baggage_handling,Checkin_service,Cleanliness,Online_boarding,Satisfaction
Female,Disloyal Customer,30,Business,Business,1259,2,1,2,2,2,5,4,2,2,4,3,0,Neutral or Dissatisfied
Male,Disloyal Customer,37,Personal,Economy,3935,0,2,1,5,4,3,0,3,3,2,1,0,Neutral or Dissatisfied
Male,Disloyal Customer,27,Personal,Economy,3407,5,4,4,2,1,1,0,4,0,5,1,1,Satisfied
Female,Loyal Customer,44,Personal,Business,1377,3,4,0,2,1,4,2,5,2,0,3,3,Satisfied
Male,Disloyal Customer,25,Personal,Economy Plus,558,2,1,1,4,5,1,4,4,3,5,1,1,Satisfied
Male,Loyal Customer,24,Personal,Business,955,0,5,0,3,1,2,3,5,4,2,2,0,Neutral or Dissatisfied
Female,Loyal Customer,49,Personal,Economy Plus,2414,4,5,4,5,2,5,1,1,5,4,1,2,Neutral or Dissatisfied
Male,Disloyal Customer,26,Personal,Business,2489,2,4,1,1,2,4,1,1,3,4,3,2,Satisfied
Female,Disloyal Customer,60,Personal,Economy Plus,4069,1,2,3,0,4,0,2,2,3,1,5,0,Satisfied
Male,Disloyal Customer,53,Personal,Economy Plus,2635,0,5,5,2,3,5,0,0,3,1,2,5,Neutral or Dissatisfied
Female,Loyal Customer,67,Business,Business,4013,3,4,5,4,4,1,2,0,4,0,5,0,Satisfied
Male,Disloyal Customer,40,Business,Economy,1745,1,0,3,1,2,5,0,2,5,5,5,0,Satisfied
Male,Disloyal Customer,23,Business,Business,510,5,4,5,5,3,5,2,3,4,1,1,4,Satisfied
Female,Disloyal Customer,25,Business,Business,4076,0,0,5,4,0,3,3,3,5,4,3,1,Neutral or Dissatisfied
Male,Disloyal Customer,54,Personal,Business,1965,3,3,3,4,2,0,3,1,2,5,5,1,Neutral or Dissatisfied
Female,Loyal Customer,60,Business,Business,2717,5,5,0,3,2,5,3,2,0,2,0,2,Neutral or Dissatisfied
Female,Disloyal Customer,55,Personal,Economy Plus,262,2,4,2,5,3,4,4,2,5,4,4,0,Neutral or Dissatisfied
Female,Disloyal Customer,64,Business,Economy Plus,2041,4,3,2,4,5,0,3,0,0,0,3,4,Neutral or Dissatisfied
Female,Loyal Customer,50,Business,Economy Plus,2716,3,5,3,4,0,0,5,5,5,1,3,0,Satisfied
Male,Disloyal Customer,28,Business,Economy,3501,3,4,3,3,2,2,2,0,5,2,3,1,Satisfied
Female,Loyal Customer,32,Business,Economy Plus,4411,4,4,1,4,0,5,0,0,4,2,5,2,Satisfied
Male,Disloyal Customer,31,Business,Economy,1591,5,2,5,1,2,1,2,3,4,0,1,2,Satisfied
Male,Loyal Customer,27,Personal,Business,2973,1,1,2,4,2,3,0,2,2,3,2,2,Neutral or Dissatisfied
Female,Loyal Customer,56,Business,Economy Plus,785,4,0,5,0,0,4,0,1,2,4,4,0,Neutral or Dissatisfied
Female,Loyal Customer,28,Personal,Business,3230,3,0,5,1,2,1,1,4,5,4,2,0,Neutral or Dissatisfied
Male,Loyal Customer,27,Business,Economy Plus,4232,4,1,0,4,3,1,5,0,3,4,0,0,Neutral or Dissatisfied
Male,Loyal Customer,62,Business,Business,1473,2,0,1,3,1,4,5,5,0,3,3,1,Neutral or Dissatisfied
Male,Loyal Customer,25,Personal,Business,4129,5,4,3,4,4,3,3,0,5,5,5,1,Satisfied
Male,Loyal Customer,46,Business,Economy Plus,4991,1,5,1,4,1,3,2,2,1,0,3,5,Neutral or Dissatisfied
Female,Loyal Customer,69,Personal,Business,3757,0,0,1,3,0,4,0,4,1,2,4,3,Satisfied
Female,Loyal Customer,20,Business,Economy,3989,5,4,0,2,1,1,3,2,5,5,3,2,Satisfied
Female,Disloyal Customer,29,Personal,Economy Plus,592,1,3,0,4,4,0,4,3,3,5,2,3,Satisfied
Female,Disloyal Customer,52,Personal,Economy Plus,3696,3,2,4,4,0,2,0,3,0,0,5,1,Satisfied
Male,Disloyal Customer,65,Personal,Economy,4021,3,4,0,3,4,5,0,3,0,4,0,5,Satisfied
Male,Disloyal Customer,67,Business,Economy Plus,537,5,5,0,0,2,2,5,0,5,5,2,3,Neutral or Dissatisfied
Female,Loyal Customer,20,Business,Economy,1293,5,4,2,1,2,2,2,5,2,2,2,3,Neutral or Dissatisfied
Male,Loyal Customer,38,Business,Economy Plus,2686,1,1,4,5,2,2,0,0,0,2,2,1,Neutral or Dissatisfied
Female,Loyal Customer,49,Business,Economy,3757,5,5,3,3,2,2,2,1,0,1,2,3,Satisfied
Female,Disloyal Customer,40,Personal,Economy Plus,2660,0,2,5,4,5,3,0,3,2,1,1,0,Neutral or Dissatisfied
Female,Disloyal Customer,63,Business,Business,3464,1,4,4,0,1,0,2,4,5,0,3,0,Satisfied
Male,Loyal Customer,67,Business,Economy,2106,4,0,3,0,0,3,5,5,3,0,4,3,Neutral or Dissatisfied
Female,Disloyal Customer,46,Personal,Business,409,1,2,4,2,3,0,2,4,4,3,2,3,Satisfied
Male,Disloyal Customer,53,Personal,Economy Plus,818,5,2,5,5,4,1,3,1,2,4,4,5,Satisfied
Female,Disloyal Customer,21,Business,Economy,2382,5,1,2,1,4,4,5,2,0,0,1,0,Satisfied
Male,Loyal Customer,24,Business,Economy Plus,1175,2,3,4,2,0,0,4,4,5,3,1,0,Neutral or Dissatisfied
Female,Loyal Customer,24,Business,Business,4579,3,0,5,5,2,2,5,5,1,4,1,2,Satisfied
Male,Loyal Customer,42,Personal,Economy,3001,3,3,1,5,0,1,0,2,0,0,2,1,Satisfied
Female,Loyal Customer,19,Business,Economy,4055,0,5,2,5,3,4,0,4,1,0,5,3,Neutral or Dissatisfied
Female,Loyal Customer,39,Personal,Business,4264,0,4,3,1,3,5,5,5,5,0,3,5,Neutral or Dissatisfied
Male,Disloyal Customer,45,Business,Business,4362,2,1,3,4,2,4,4,3,3,4,4,2,Satisfied
Male,Loyal Customer,22,Personal,Business,4128,2,3,3,5,1,0,4,3,4,4,1,4,Satisfied
Male,Loyal Customer,46,Personal,Business,1626,3,3,1,0,0,0,5,4,1,0,5,1,Neutral or Dissatisfied
Female,Loyal Customer,57,Personal,Business,865,4,4,0,5,2,5,1,4,1,1,5,5,Satisfied
Male,Loyal Customer,39,Business,Economy Plus,1888,3,3,2,3,3,5,5,2,5,4,3,1,Neutral or Dissatisfied
Male,Disloyal Customer,36,Personal,Economy,1689,2,3,0,1,3,5,4,2,0,4,2,0,Neutral or Dissatisfied
Female,Loyal Customer,58,Personal,Business,2833,5,1,4,0,1,2,5,1,3,4,5,5,Neutral or Dissatisfied
Male,Loyal Customer,20,Personal,Business,2647,5,0,3,1,1,5,4,1,1,0,2,2,Satisfied
Male,Disloyal Customer,21,Business,Business,3576,4,3,5,2,0,5,0,3,2,5,5,5,Neutral or Dissatisfied
Female,Loyal Customer,56,Personal,Business,1988,0,0,5,5,0,2,4,2,0,4,3,5,Satisfied
Female,Loyal Customer,34,Personal,Economy Plus,690,1,0,2,3,1,4,5,5,0,1,1,4,Neutral or Dissatisfied
Female,Disloyal Customer,28,Personal,Economy Plus,4650,1,2,3,1,0,3,3,1,0,5,2,4,Neutral or Dissatisfied
Male,Disloyal Customer,49,Personal,Business,4521,0,0,3,0,4,5,4,4,2,2,5,2,Satisfied
Male,Loyal Customer,27,Personal,Economy Plus,3512,2,3,1,4,5,5,5,3,2,4,4,3,Satisfied
Female,Disloyal Customer,68,Business,Business,1001,5,3,0,4,1,1,3,1,1,1,2,4,Satisfied
Female,Disloyal Customer,59,Business,Business,462,5,1,3,1,2,1,3,0,4,3,0,4,Satisfied
Male,Loyal Customer,43,Business,Economy,2561,5,1,0,3,1,3,3,3,4,3,4,1,Neutral or Dissatisfied
Male,Loyal Customer,52,Business,Business,1380,3,3,5,2,3,0,3,5,3,0,3,1,Satisfied
Female,Loyal Customer,43,Business,Economy Plus,2925,4,1,5,0,3,3,0,2,1,2,3,3,Neutral or Dissatisfied
Male,Loyal Customer,33,Business,Economy Plus,874,0,0,3,4,1,5,1,5,2,4,1,5,Neutral or Dissatisfied
Male,Disloyal Customer,65,Personal,Business,1046,3,2,1,2,0,4,3,4,2,4,2,5,Neutral or Dissatisfied
Female,Loyal Customer,62,Personal,Business,3235,5,4,2,1,5,1,1,2,1,1,3,1,Neutral or Dissatisfied
Male,Disloyal Customer,30,Personal,Economy,783,0,5,3,5,0,4,5,2,0,3,0,4,Satisfied
Female,Loyal Customer,46,Business,Economy,4956,2,4,5,4,0,4,3,2,3,2,0,4,Neutral or Dissatisfied
Female,Disloyal Customer,69,Personal,Economy,3395,5,4,5,4,5,1,3,2,3,4,2,1,Neutral or Dissatisfied
Female,Loyal Customer,65,Personal,Economy,201,4,4,2,4,3,3,2,0,5,0,5,4,Satisfied
Female,Disloyal Customer,40,Personal,Economy Plus,980,4,1,1,2,1,3,0,0,2,3,2,2,Satisfied
Male,Loyal Customer,19,Personal,Economy Plus,1449,3,3,2,4,2,1,1,4,5,1,3,5,Neutral or Dissatisfied
Female,Loyal Customer,49,Personal,Economy,668,2,3,3,5,2,3,1,3,2,1,3,5,Satisfied
Male,Loyal Customer,42,Business,Economy,2754,2,0,1,2,3,2,0,5,3,3,5,4,Satisfied
Female,Loyal Customer,69,Business,Economy Plus,3497,2,4,4,1,5,5,3,0,0,2,0,3,Neutral or Dissatisfied
Female,Disloyal Customer,24,Personal,Economy Plus,2895,5,1,3,5,2,1,0,5,3,5,3,1,Satisfied
Female,Disloyal Customer,67,Personal,Economy,2942,4,2,1,2,2,5,4,0,4,1,5,4,Neutral or Dissatisfied
Male,Disloyal Customer,23,Business,Business,2596,3,3,3,3,4,4,0,1,2,3,5,3,Neutral or Dissatisfied
Female,Disloyal Customer,58,Business,Economy Plus,354,2,5,2,0,2,4,0,5,5,0,0,4,Neutral or Dissatisfied
Female,Loyal Customer,54,Personal,Economy Plus,4436,2,0,0,4,3,0,3,3,1,4,0,1,Neutral or Dissatisfied
Male,Loyal Customer,40,Business,Business,4579,0,1,1,5,1,5,4,3,3,4,5,2,Neutral or Dissatisfied
Female,Loyal Customer,23,Business,Economy,1513,1,2,1,0,0,1,5,4,0,2,2,4,Satisfied
Male,Loyal Customer,31,Personal,Business,1019,1,3,2,2,3,5,1,5,5,0,4,5,Satisfied
Male,Loyal Customer,51,Personal,Economy Plus,4906,2,0,1,4,3,0,4,0,2,3,2,1,Neutral or Dissatisfied
Female,Disloyal Customer,41,Business,Economy,3992,5,5,4,3,4,1,2,5,5,5,2,3,Neutral or Dissatisfied
Female,Loyal Customer,21,Business,Business,1787,0,4,0,5,3,0,3,5,3,5,5,3,Satisfied
Female,Disloyal Customer,62,Business,Business,4894,2,3,5,4,0,2,1,2,2,0,4,5,Neutral or Dissatisfied
Male,Disloyal Customer,49,Business,Economy,4810,2,5,0,5,0,2,5,5,4,2,5,3,Satisfied
Male,Disloyal Customer,18,Personal,Economy,3932,4,0,4,2,1,2,3,4,5,2,3,5,Satisfied
Female,Disloyal Customer,64,Business,Business,3516,4,5,5,5,4,2,1,3,3,4,4,5,Satisfied
Male,Disloyal Customer,23,Business,Economy,1564,5,4,2,5,2,1,2,5,1,0,3,4,Neutral or Dissatisfied
Male,Disloyal Customer,65,Personal,Economy Plus,4489,0,2,2,0,4,5,0,0,4,2,2,0,Neutral or Dissatisfied
Female,Loyal Customer,28,Personal,Business,3545,0,2,5,0,3,3,3,0,1,3,0,3,Satisfied
Female,Loyal Customer,30,Business,Economy,3955,4,3,5,3,5,2,3,0,3,1,3,3,Satisfied
Female,Loyal Customer,18,Personal,Economy,1031,2,4,2,3,5,4,4,5,2,4,2,2,Satisfied
Female,Disloyal Customer,65,Business,Business,2929,2,0,2,4,3,0,5,4,0,4,4,5,Neutral or Dissatisfied
Female,Disloyal Customer,69,Business,Business,2423,3,2,5,4,2,2,3,3,4,4,2,4,Neutral or Dissatisfied
Male,Loyal Customer,19,Business,Economy Plus,2687,3,5,4,3,5,0,5,3,2,3,0,4,Satisfied
Male,Loyal Customer,36,Personal,Economy,4992,0,5,2,1,3,4,2,1,5,4,4,1,Satisfied
Female,Disloyal Customer,43,Personal,Economy Plus,4627,5,2,2,2,4,0,2,0,2,3,3,5,Neutral or Dissatisfied
Male,Disloyal Customer,47,Personal,Economy Plus,2842,0,0,0,2,2,2,4,5,5,5,3,4,Satisfied
Female,Loyal Customer,46,Personal,Business,2056,1,0,0,2,5,4,5,0,2,0,5,3,Satisfied
Male,Loyal Customer,66,Business,Economy,4959,1,5,2,4,2,5,4,5,3,5,5,1,Satisfied
Male,Loyal Customer,27,Personal,Economy,4727,5,5,3,4,4,3,4,4,3,5,5,3,Satisfied
Male,Loyal Customer,26,Personal,Economy Plus,1378,2,3,4,1,2,2,4,4,2,1,5,5,Satisfied
Male,Disloyal Customer,19,Personal,Economy Plus,1861,3,0,0,2,2,0,3,5,5,0,1,1,Satisfied
Male,Loyal Customer,44,Business,Business,3224,5,4,3,3,5,5,5,4,4,2,3,2,Satisfied
Female,Disloyal Customer,63,Business,Economy,4332,2,5,2,0,5,3,5,2,2,2,5,0,Neutral or Dissatisfied
Female,Loyal Customer,23,Business,Business,2256,1,0,5,1,0,5,1,0,3,3,0,4,Satisfied
Female,Loyal Customer,52,Business,Economy,2773,0,4,4,2,3,4,3,4,2,1,3,2,Satisfied
Male,Loyal Customer,61,Business,Business,4320,4,4,2,0,1,3,4,3,3,5,1,5,Satisfied
Male,Disloyal Customer,44,Business,Economy,3577,4,0,5,1,5,0,5,1,3,2,1,0,Neutral or Dissatisfied
Male,Disloyal Customer,66,Personal,Economy Plus,1805,4,3,4,2,1,5,2,5,1,3,3,1,Satisfied
Male,Disloyal Customer,28,Business,Economy,2040,2,0,1,1,1,0,3,4,0,5,2,0,Satisfied
Female,Loyal Customer,34,Business,Economy Plus,2180,4,3,2,3,4,1,2,4,4,1,3,3,Satisfied
Male,Disloyal Customer,44,Business,Economy,4323,4,3,1,5,4,4,2,5,0,1,2,5,Satisfied
Male,Loyal Customer,67,Personal,Economy Plus,873,4,4,0,1,5,3,5,0,5,4,1,3,Satisfied
Female,Disloyal Customer,28,Business,Economy,1672,2,2,4,2,0,3,3,1,5,1,5,5,Neutral or Dissatisfied
Male,Disloyal Customer,60,Business,Economy Plus,1199,2,3,2,1,3,5,4,5,4,0,4,4,Neutral or Dissatisfied
Female,Loyal Customer,18,Personal,Economy,1509,3,1,5,5,0,3,3,5,1,3,4,3,Satisfied
Female,Disloyal Customer,30,Business,Economy,4948,2,4,3,5,2,3,2,0,0,4,3,0,Satisfied
Male,Loyal Customer,41,Business,Economy Plus,845,0,4,3,3,3,0,3,0,1,3,5,1,Neutral or Dissatisfied
Female,Loyal Customer,50,Business,Economy,1814,0,0,3,0,5,4,5,2,1,4,0,4,Satisfied
Male,Disloyal Customer,56,Personal,Economy Plus,313,2,1,4,1,2,2,4,2,5,1,1,1,Satisfied
Male,Disloyal Customer,28,Business,Business,3542,4,3,3,4,5,5,4,5,3,0,4,1,Satisfied
Female,Loyal Customer,22,Business,Economy,2572,5,5,0,2,5,3,0,0,2,3,0,3,Neutral or Dissatisfied
Male,Loyal Customer,48,Personal,Economy Plus,2350,5,1,1,4,5,1,0,2,4,3,2,0,Satisfied
Female,Disloyal Customer,58,Business,Economy,1299,0,3,2,1,0,5,0,5,4,0,1,3,Satisfied
Female,Loyal Customer,52,Business,Economy Plus,2333,0,1,4,5,1,0,2,0,0,1,1,3,Satisfied
Male,Loyal Customer,24,Personal,Economy Plus,1695,4,4,4,3,3,4,2,5,5,2,5,1,Neutral or Dissatisfied
Male,Disloyal Customer,44,Business,Economy Plus,4882,4,3,1,5,3,4,2,2,4,2,4,5,Neutral or Dissatisfied
Male,Disloyal Customer,34,Personal,Business,3137,2,3,3,2,2,1,1,1,0,0,1,3,Satisfied
Female,Loyal Customer,48,Personal,Economy,3598,1,5,1,3,0,2,4,4,3,5,1,4,Satisfied
Female,Disloyal Customer,43,Personal,Business,729,2,1,0,1,2,1,1,0,5,1,1,5,Neutral or Dissatisfied
Male,Loyal Customer,44,Business,Business,3697,4,1,3,1,3,4,4,3,0,0,2,5,Neutral or Dissatisfied
Female,Loyal Customer,62,Personal,Business,2080,2,3,3,5,3,1,0,1,2,1,5,5,Satisfied
Female,Disloyal Customer,35,Personal,Economy,4261,0,4,0,0,1,1,2,3,0,5,4,2,Satisfied
Male,Loyal Customer,44,Business,Economy Plus,1983,0,0,0,5,4,0,3,3,5,4,5,5,Satisfied
Female,Loyal Customer,46,Personal,Economy,4720,3,5,4,2,2,4,3,4,3,3,1,0,Neutral or Dissatisfied
Male,Disloyal Customer,58,Personal,Economy,793,3,1,1,1,3,5,4,2,5,0,0,3,Neutral or Dissatisfied
Female,Disloyal Customer,27,Personal,Business,4727,1,0,0,2,4,1,4,5,0,4,4,3,Neutral or Dissatisfied
Male,Loyal Customer,53,Business,Economy,108,0,4,2,0,5,0,4,4,2,2,1,3,Satisfied
Male,Disloyal Customer,63,Business,Economy Plus,4262,2,2,5,3,2,2,3,2,0,4,2,4,Neutral or Dissatisfied
Female,Disloyal Customer,20,Personal,Business,1412,3,2,3,0,4,0,0,1,0,1,0,0,Neutral or Dissatisfied
Female,Disloyal Customer,36,Business,Economy Plus,4856,5,0,2,0,0,2,2,0,3,5,0,0,Neutral or Dissatisfied
Male,Loyal Customer,67,Business,Economy,603,2,1,2,2,3,3,4,0,1,0,1,1,Satisfied
Female,Loyal Customer,68,Business,Economy Plus,199,1,1,5,3,5,5,0,0,1,1,3,0,Satisfied
Male,Loyal Customer,39,Personal,Economy Plus,195,5,3,5,2,4,5,4,5,2,0,1,0,Satisfied
Female,Loyal Customer,41,Business,Business,2086,5,1,3,3,5,4,3,3,5,3,5,5,Neutral or Dissatisfied
Female,Disloyal Customer,31,Business,Business,2396,2,1,5,5,3,2,1,5,1,5,4,5,Neutral or Dissatisfied
Male,Loyal Customer,65,Personal,Economy Plus,1471,1,1,2,0,2,2,3,0,3,0,4,4,Neutral or Dissatisfied
Female,Disloyal Customer,56,Business,Economy Plus,1734,3,4,3,0,3,4,0,2,0,3,3,1,Neutral or Dissatisfied
Male,Loyal Customer,30,Business,Business,4497,5,4,4,4,0,4,5,1,3,2,3,1,Neutral or Dissatisfied
Male,Loyal Customer,52,Business,Economy,3503,2,2,0,3,3,5,1,3,2,5,3,4,Neutral or Dissatisfied
Male,Loyal Customer,31,Personal,Economy Plus,3882,3,3,0,4,0,3,2,0,5,0,4,4,Neutral or Dissatisfied
Female,Loyal Customer,52,Business,Economy Plus,3974,1,5,4,3,2,5,4,0,4,5,0,3,Satisfied
Female,Loyal Customer,24,Personal,Economy,2536,3,3,0,0,3,1,0,1,2,2,4,0,Neutral or Dissatisfied
Female,Disloyal Customer,27,Business,Business,642,5,4,3,3,0,5,3,0,1,4,0,1,Satisfied
Female,Loyal Customer,19,Business,Business,3949,5,5,2,4,0,1,3,5,1,0,5,5,Satisfied
Male,Disloyal Customer,38,Personal,Business,542,5,1,2,5,1,5,2,2,4,5,0,5,Satisfied
Female,Disloyal Customer,68,Personal,Business,3111,0,1,2,3,0,1,2,0,3,2,4,0,Satisfied
Male,Disloyal Customer,44,Business,Business,2176,4,1,1,3,1,4,3,1,4,1,5,0,Neutral or Dissatisfied
Female,Disloyal Customer,19,Business,Economy Plus,4389,3,4,1,3,5,2,4,5,5,1,3,2,Neutral or Dissatisfied
Male,Loyal Customer,59,Personal,Economy,1730,1,4,5,4,0,2,4,2,4,0,5,1,Satisfied
Male,Disloyal Customer,19,Personal,Economy Plus,4733,1,5,0,0,2,3,5,0,1,3,4,3,Neutral or Dissatisfied
Male,Loyal Customer,27,Personal,Economy Plus,4471,5,4,5,4,4,3,2,0,5,1,3,5,Neutral or Dissatisfied
Female,Loyal Customer,22,Business,Economy,2533,2,0,2,5,4,0,0,5,0,1,3,4,Neutral or Dissatisfied
Female,Disloyal Customer,23,Personal,Business,1259,3,2,5,3,5,1,3,5,3,2,2,2,Satisfied
Female,Loyal Customer,40,Business,Economy Plus,4124,0,0,0,2,5,3,0,0,2,0,0,2,Satisfied
Female,Loyal Customer,52,Business,Economy,2461,5,5,2,4,0,4,1,5,3,3,1,4,Satisfied
Female,Loyal Customer,43,Business,Economy Plus,1138,1,5,2,4,4,1,0,5,1,4,1,3,Satisfied
Male,Disloyal Customer,44,Personal,Economy Plus,2736,0,1,5,5,3,1,3,0,1,2,2,5,Neutral or Dissatisfied
Female,Disloyal Customer,43,Personal,Economy Plus,3854,1,0,0,1,3,1,4,2,3,1,0,1,Satisfied
Male,Loyal Customer,25,Personal,Business,3050,5,0,0,4,3,0,0,2,5,4,2,4,Satisfied
Male,Loyal Customer,50,Personal,Economy Plus,2182,3,4,1,5,5,1,5,0,1,0,2,2,Neutral or Dissatisfied
Male,Loyal Customer,38,Business,Economy Plus,109,0,4,3,0,1,3,4,5,2,3,4,5,Satisfied
Female,Disloyal Customer,20,Business,Business,1741,1,0,3,4,2,4,4,3,4,5,2,4,Satisfied
Male,Loyal Customer,69,Business,Business,3719,1,1,0,5,3,2,1,1,5,4,3,1,Satisfied
Female,Loyal Customer,53,Personal,Business,352,2,0,4,2,2,5,3,0,0,0,3,4,Satisfied
Male,Loyal Customer,26,Personal,Economy Plus,4497,2,2,1,2,0,5,4,5,0,0,5,2,Neutral or Dissatisfied
Female,Disloyal Customer,30,Business,Economy,3362,2,0,0,0,3,3,5,5,1,3,2,5,Satisfied
Female,Disloyal Customer,44,Business,Economy,4474,1,0,2,3,1,0,2,2,4,3,5,3,Neutral or Dissatisfied
Female,Disloyal Customer,66,Business,Business,1555,2,3,3,4,1,0,4,3,2,4,5,0,Satisfied
Female,Loyal Customer,59,Personal,Economy,350,1,5,0,1,0,5,5,5,5,2,2,1,Satisfied
Female,Loyal Customer,22,Personal,Economy Plus,2211,5,0,3,3,3,5,3,4,2,3,3,1,Satisfied
Male,Disloyal Customer,41,Business,Business,2403,2,5,0,5,1,2,3,1,4,0,4,4,Satisfied
Female,Disloyal Customer,25,Personal,Business,2717,0,1,3,4,0,4,2,4,0,0,3,0,Neutral or Dissatisfied
Male,Loyal Customer,28,Personal,Business,1070,0,2,0,2,1,5,4,4,4,3,3,2,Neutral or Dissatisfied
Female,Disloyal Customer,62,Business,Business,2874,4,3,2,0,2,3,3,4,5,2,5,1,Neutral or Dissatisfied
Male,Loyal Customer,61,Personal,Economy Plus,2466,2,4,0,2,0,1,1,3,1,2,3,4,Satisfied
Female,Disloyal Customer,27,Business,Economy Plus,2796,2,1,5,5,2,5,5,3,4,0,1,4,Neutral or Dissatisfied
Female,Loyal Customer,27,Business,Economy Plus,2592,3,0,2,4,2,0,1,2,4,2,4,2,Satisfied
Male,Disloyal Customer,67,Business,Economy,3991,3,4,3,1,2,0,0,0,4,1,5,4,Neutral or Dissatisfied
Male,Loyal Customer,44,Business,Economy Plus,2673,1,3,3,2,1,2,5,5,0,3,1,2,Satisfied
Male,Loyal Customer,58,Business,Economy,1523,4,1,3,2,3,5,0,2,3,1,4,0,Satisfied
Male,Disloyal Customer,62,Business,Economy,3326,0,5,0,5,2,0,1,1,4,5,5,1,Neutral or Dissatisfied
Female,Disloyal Customer,22,Personal,Economy Plus,195,5,5,5,5,4,0,3,1,1,4,4,3,Neutral or Dissatisfied
Female,Loyal Customer,54,Personal,Business,2082,3,0,4,1,3,5,5,0,0,5,4,3,Satisfied
Male,Loyal Customer,61,Personal,Business,2143,3,0,0,2,2,2,3,1,1,3,4,1,Satisfied
Male,Disloyal Customer,24,Personal,Economy,3629,1,1,5,4,3,0,3,4,3,0,1,4,Satisfied
Male,Loyal Customer,26,Personal,Economy,2743,5,4,3,2,5,5,3,4,1,0,5,3,Neutral or Dissatisfied
Female,Disloyal Customer,33,Business,Economy Plus,1201,4,3,0,4,1,2,5,3,3,2,1,0,Neutral or Dissatisfied
Male,Loyal Customer,30,Personal,Economy Plus,1195,2,2,1,4,1,0,3,3,4,1,3,0,Neutral or Dissatisfied
Female,Loyal Customer,34,Personal,Economy Plus,2544,2,1,2,3,1,2,1,4,2,1,1,4,Satisfied
Female,Loyal Customer,62,Personal,Business,2718,2,1,3,0,3,4,0,5,1,4,3,5,Neutral or Dissatisfied
Female,Loyal Customer,20,Personal,Business,336,0,4,2,1,0,2,4,5,1,4,4,1,Satisfied
Male,Loyal Customer,56,Personal,Economy Plus,1391,4,4,5,3,3,2,5,3,5,5,0,2,Satisfied
Male,Disloyal Customer,54,Business,Economy,4530,4,3,5,0,5,5,5,5,1,4,5,0,Neutral or Dissatisfied
Male,Loyal Customer,40,Personal,Economy Plus,1797,4,4,4,1,1,0,1,5,0,3,3,5,Neutral or Dissatisfied
Female,Loyal Customer,60,Business,Business,1784,1,3,1,4,5,2,3,0,4,3,5,4,Neutral or Dissatisfied
Male,Loyal Customer,67,Personal,Economy Plus,956,3,1,0,4,1,2,4,3,4,0,3,3,Satisfied
Male,Disloyal Customer,63,Personal,Economy,2427,4,1,4,4,4,1,5,4,4,0,0,4,Satisfied
Female,Loyal Customer,59,Business,Business,291,1,0,1,5,5,5,4,1,2,1,3,4,Satisfied
Male,Disloyal Customer,32,Personal,Business,1798,4,0,4,4,5,4,3,2,3,4,4,3,Neutral or Dissatisfied
Female,Disloyal Customer,53,Business,Economy,4516,0,4,4,3,5,0,4,2,0,4,2,3,Satisfied
Female,Loyal Customer,61,Business,Business,2304,1,3,0,5,0,4,5,0,4,5,0,2,Neutral or Dissatisfied
Female,Disloyal Customer,40,Personal,Economy,2086,1,0,3,3,1,0,2,0,2,3,0,2,Satisfied
Male,Loyal Customer,61,Personal,Business,3852,5,2,4,2,1,2,2,3,3,4,4,0,Satisfied
Female,Disloyal Customer,31,Personal,Business,4677,2,3,1,3,3,5,2,1,2,3,1,5,Satisfied
Female,Loyal Customer,33,Business,Economy Plus,4365,5,4,3,5,5,1,3,4,4,0,4,4,Neutral or Dissatisfied
Male,Disloyal Customer,60,Business,Business,3962,1,3,2,1,5,4,5,3,5,4,2,1,Satisfied
Male,Disloyal Customer,37,Personal,Business,4776,0,0,3,4,2,4,2,5,1,3,5,0,Neutral or Dissatisfied
Male,Disloyal Customer,49,Personal,Economy,1274,3,0,5,3,2,3,5,5,5,4,2,1,Neutral or Dissatisfied
Male,Disloyal Customer,40,Personal,Business,857,4,5,5,0,3,5,2,1,3,1,0,1,Satisfied
Male,Loyal Customer,69,Personal,Economy,3693,3,1,2,4,0,0,2,0,3,3,2,2,Satisfied
Female,Disloyal Customer,62,Personal,Economy,3899,2,2,1,4,0,5,2,1,5,1,2,2,Satisfied
Male,Disloyal Customer,52,Business,Economy,4753,2,4,5,1,2,2,3,2,4,3,4,1,Satisfied
Female,Disloyal Customer,55,Business,Business,2659,2,2,2,3,4,3,0,3,2,3,3,3,Neutral or Dissatisfied
Male,Disloyal Customer,21,Business,Economy,1583,0,2,2,4,3,5,0,1,4,3,1,1,Satisfied
Female,Loyal Customer,22,Business,Economy Plus,2518,0,2,0,0,0,3,1,5,1,2,2,2,Neutral or Dissatisfied
Male,Disloyal Customer,62,Personal,Economy Plus,4943,0,5,4,3,3,2,4,3,2,5,2,3,Neutral or Dissatisfied
Male,Loyal Customer,50,Personal,Business,1076,3,5,3,2,5,2,4,3,0,0,4,3,Neutral or Dissatisfied
Female,Loyal Customer,42,Business,Economy,3489,4,4,3,1,5,2,4,3,1,5,1,4,Neutral or Dissatisfied
Female,Loyal Customer,22,Business,Economy Plus,3423,3,1,5,1,3,3,3,0,0,0,4,4,Neutral or Dissatisfied
